"employee_id","department","job_level","employment_type","city","hire_date","last_review_date","salary","bonus_pct","performance_score","overtime_hours","training_hours","satisfaction_score","manager","attrition","employment_status"
"EMP00072","HR","L4","Intern","Nukus","28/10/2020","2023-07-15","53,003.26","0.06","2.83","27","25","3.59",,"No","On Leave"
"EMP00073","Customer Success","L4","Intern","Bukhara","22/03/2025","2027-08-13","130,851.44","0.05","2.39","26","33","4.91","Sara Lee","yes","On Leave"
"EMP00074","sales ","L2","Part-time","Samarkand","23/08/2021","2022-06-09","65,657.80","0.1","4.98","3","34","1.74","Rustam Mamatov","Yes","active"
"EMP00075","Operations","Manager","Contract","Nukus","21/01/2021","2022-06-07","129,681.28","0.17","3.01","44","8","3.21","Aziz Khan","NO","Active"
"EMP00076","IT","Senior Analyst","Full-time","Bukhara","18/03/2024","2025-12-17","78,466.86","0.07","2.38","12","54","1.67","Rustam Mamatov","yes","Active"
"EMP00077","Operations","L1","Full-time","Tashkent","16/05/2021","2023-03-28","51,365.29","0.09","2.18","5","79","1.95","Rustam Mamatov","Yes","Active"
"EMP00078","Marketing","L2","Intern","Fergana","29/12/2022","2024-03-02","134,861.47","0.06",,"10","16","4.79","Nodira Usmanova","no","Active"
"EMP00079","HR","L3","Contract","Bukhara","05/08/2019","2022-04-02","29,009.99","0.08","3.79","4","59","1","Timur Akramov","no","Active"
"EMP00080","Customer Success","L4","Part-time","Samarkand","05/01/2025","2026-07-13","49,868.48","0.01","4.04","5","65","1.69","Aziz Khan","no","Resigned"
"EMP00081","Customer Success","Manager","Full-time","Samarkand","02/06/2017","2019-02-17",,"0.14","4.42","24","31","4.46","Sara Lee","NO","active"
"EMP00082","Sales","L2","Intern","Fergana","12/01/2025","2026-09-10","128,884.32","0.14","4.91","32","7","3.86","Sara Lee","Yes","On Leave"
"EMP00083","Operations","Senior Analyst","Part-time","Tashkent","16/01/2020","2021-03-06","138,716.78","0.09","4.28","36","59","3.59","Timur Akramov","no","Active"
"EMP00084","HR","L1","Part-time","Bukhara","20/03/2021","2021-09-26","$74,228.35","0.02","2.64","45","31","3.87","Rustam Mamatov","No","On Leave"
"EMP00085","HR","L1","Full-time","Andijan","26/07/2020","2023-07-28","98,882.42","0.1","4.18","6","75","4.96","Aziz Khan","No","On Leave"
"EMP00086","Marketing","L1","Full-time","Bukhara","06/10/2017","2019-05-14","59,855.19","0.02","4.98","8","7","1.61","Nodira Usmanova","NO","On Leave"
"EMP00087","sales ","L2","Intern","Tashkent","05/06/2021","2022-01-23","53,419.71","0.03","3.08","44","48","2.95","Farida Karim","Yes","Active"
"EMP00088","Operations","Manager","Intern","Bukhara","09/09/2019","2020-12-18","128,838.83","0.03","2.22","25","12","4.21","Farida Karim","Yes","Active"
"EMP00089","sales ","L4","Intern","Fergana","22/01/2016","2017-04-15","121,346.79","0.19","4.82","31","9","2.03","Rustam Mamatov","yes","On Leave"
"EMP00090","Marketing","Manager","Intern","Samarkand","20/07/2021","2023-12-16","28,863.78","0.2","4.84","26","10","4.62",,"no","Active"
"EMP00091","Human Resources","Senior Analyst","Part-time","Fergana","05/05/2016","2018-03-05","40,195.65","0.1","3.59","15","49","2.36","Rustam Mamatov","Yes","On Leave"
"EMP00092","Finance","Senior Analyst","Part-time","Fergana","16/10/2022","2024-11-02","61,735.30","0.16","2.74","9","55","2.06","Nodira Usmanova","no","active"
"EMP00093"," hr ","L4","Contract","Tashkent","22/01/2025","2027-05-11","72,815.95","0.11","4.72","9","70","1.77","Timur Akramov","no","Active"
"EMP00094","HR","Senior Analyst","Contract","Nukus","08/05/2020","2022-01-27","147,930.07","0.12","3.85","31","19","3.69","Rustam Mamatov",,"active"
"EMP00095","Sales","L3","Intern","Andijan","06/09/2016","2019-09-13","139,959.77","0.02","3.12","2","46","1.03","Timur Akramov","No","Active"
"EMP00096","Sales","Manager","Full-time","Samarkand","28/07/2018","2019-12-13","72,380.61","0.11","4.16","39","27","1.16","Nodira Usmanova","Yes","active"
"EMP00097","IT","L1","Intern","Samarkand","09/01/2025","2026-05-13","76,487.19","0.08","2.24","9","40","2.36","Farida Karim","No","active"
"EMP00098","Finance","L3","Intern","Samarkand","20/03/2021","2022-06-05","$62,359.29","0.16","3.25","2","64","2.39","Sara Lee","No","Active"
"EMP00099","Customer Success","L1","Part-time","Nukus","17/08/2024","2025-09-28","$ 28,263.42","0.15","2.58","5","0","4.73","Sara Lee","yes","Active"
"EMP00100","Human Resources","L2","Full-time","Fergana","16/05/2024","2026-09-29","70,053.04","0.04","4.06","21","53","3.07","Rustam Mamatov","no","active"
"EMP00101","Sales","L2","Part-time","Bukhara","16/10/2021","2022-07-03","46,965.21","0.13","2.41","0","76","3.03","Aziz Khan","no","active"
"EMP00102","sales ","L1","Full-time","Tashkent","18/03/2025","2025-10-10","141,580.82","0.15","4.77","42","13","1.03","Sara Lee","no","active"
"EMP00103","Marketing","L3","Intern","Fergana","02/01/2023","2025-04-04","49,100.67","0.04","3.71","44","45","1.15","Sara Lee","no","active"
"EMP00104","HR","L3","Contract","Nukus","24/05/2021","2023-10-04","124,557.42","0.16","3.29","10","50","2.29","Sara Lee","Yes","Active"
"EMP00105","Operations","L2","Part-time","Bukhara","15/06/2018","2019-01-04"," 45,251.45 ","0.05","4.8","22","17","4.23","Timur Akramov","No","On Leave"
"EMP00106","IT","L3","Part-time","Samarkand","06/10/2016","2019-06-23","67,935.92","0.01","2.02","35","13","4.32","Nodira Usmanova","NO","Resigned"
"EMP00107","Finance","Manager","Contract","Andijan","01/08/2021","2023-08-08","38,335.73","0.1","2.51","1","19","2.72","Rustam Mamatov","NO","active"
"EMP00108","Marketing","L1","Intern","Andijan","13/09/2023","2024-10-27",,"0.13","4.35","28","3","4.95",,"yes","Active"
"EMP00109","Sales","Senior Analyst","Contract","Fergana","20/07/2020","2022-09-13","102,378.57","0.18","3.53","2","15","2.23","Aziz Khan","no","Active"
"EMP00110","Operations","Senior Analyst","Intern","Samarkand","14/08/2016","2018-02-10","58,018.74","0.18","3.47","2","48","4.53","Sara Lee","yes","On Leave"
"EMP00111","Sales","L4","Contract","Fergana","18/02/2021","2023-10-01","94,511.51","0.16","4.71","28","8","2.28","Aziz Khan","yes","Resigned"
"EMP00112","Operations","L4","Contract","Fergana","25/10/2020","2023-08-25","$44,278.07","0.08","4.96","6","20","3.8","Aziz Khan","Yes","active"
"EMP00113","Marketing","L3","Part-time","Fergana","17/04/2023","2024-12-17","36,730.24","0.02","4.95","20","19","3.24","Timur Akramov","Yes","Resigned"
"EMP00114","Finance","L4","Intern","Fergana","12/10/2021","2022-09-19","39,268.92","0.12","2.85","44","65","2.42","Farida Karim","yes","active"
"EMP00115","IT","Manager","Contract","Samarkand","10/11/2024","2027-04-23","123,063.21","0.05","2.92","24","61","4.03","Aziz Khan","No","active"
"EMP00116","sales ","L4","Full-time",,"09/03/2017","2018-10-15","62,861.97","0.12","3.47","23","2","4.2","Nodira Usmanova","yes","On Leave"
"EMP00117","Operations","L4","Contract","Fergana","28/08/2016","2017-09-21","46,767.08","0.14",,"7","30","4.72","Nodira Usmanova","Yes","Resigned"
"EMP00118","Customer Success","Senior Analyst","Part-time","Tashkent","02/02/2016","2018-04-01","76,615.60","0.08","3.19","9","27","1.46","Sara Lee","Yes","Resigned"
"EMP00119","IT","L3","Contract","Nukus","21/03/2024","2025-12-28","70,055.04","0.09","4.16","35","28","3.71","Rustam Mamatov","yes","Active"
"EMP00120","Operations","L4","Part-time","Bukhara","20/06/2017","2020-04-03","98,126.47","0.16","2.13","12","0","4.14","Nodira Usmanova","no","Active"
"EMP00121","Finance","L2","Intern","Nukus","27/12/2019","2021-11-09","103,187.24","0.03","3.66","10","32","1.52","Nodira Usmanova","No","active"
"EMP00122","HR","L1","Contract","Nukus","09/11/2022","2023-07-23","82,654.57","0.11","3.8","16","39","3.57","Sara Lee","No","active"
"EMP00123","IT","L3","Intern","Tashkent","07/02/2023","2025-12-15","149,489.54","0.1","4.07","11","46","3.65","Aziz Khan","no","Active"
"EMP00124"," hr ","L4","Intern","Bukhara","11/11/2018","2021-05-17","101,600.42","0.1","3.26","29","71","4.69","Aziz Khan","Yes","Resigned"
"EMP00125","Sales","L3","Contract","Tashkent","11/07/2018","2019-10-24","126,322.58","0.02","4.63","29","54","3.31","Nodira Usmanova","yes","active"
"EMP00126","Finance","L1","Intern","Tashkent","07/01/2024","2025-12-17","$37,397.40","0.15","4.46","24","34","2.31",,"yes","active"
"EMP00127","Marketing","Senior Analyst","Part-time","Andijan","27/08/2024","2025-04-07","71,404.05","0.18","2.1","24","14","3.44","Nodira Usmanova","yes","Resigned"
"EMP00128","Customer Success","Manager","Part-time","Andijan","26/03/2019","2021-05-03","91,756.04","0.1","2.28","1","18","3.13","Rustam Mamatov","no","Active"
"EMP00129","Human Resources","Manager","Contract","Samarkand","28/02/2018","2020-03-17","50,352.94","0.17","2.07","8","0","3.39","Aziz Khan","yes","Resigned"
"EMP00130","Customer Success","L2","Intern","Fergana","15/05/2017","2018-09-27","131,283.50","0.13","2.47","3","6","3.1","Sara Lee","yes","On Leave"
"EMP00131","Customer Success","L2","Contract","Bukhara","09/01/2023","2025-12-12","71,223.58","0.06","2.58","10","10","3.83","Timur Akramov","NO","Resigned"
"EMP00132","sales ","Senior Analyst","Intern","Fergana","26/02/2023","2025-11-19","$ 96,437.22","0","3.16","8","34","4.67","Aziz Khan","No","On Leave"
"EMP00133","HR","L3","Full-time","Samarkand","07/01/2017","2020-03-10","31,277.87","0.01","3.95","11","58","1.08","Farida Karim","NO","Active"
"EMP00134","Human Resources","L2","Part-time","Andijan","24/04/2017","2018-08-29","137,292.16","0.01","4.85","37","5","4.4","Rustam Mamatov","yes","Resigned"
"EMP00135","IT","L1","Full-time","Fergana","30/06/2022","2024-02-09",,"0.04","2.91","29","42","4.02","Rustam Mamatov","yes","Active"
"EMP00136","HR","L1","Full-time","Tashkent","05/05/2024","2024-12-04","62,003.23","0.13","2.12","15","11","4.66","Aziz Khan","no","active"
"EMP00137","Operations","L4","Part-time","Tashkent","22/08/2018","2019-11-25","57,016.44","0.02","3.88","41","37","1.37","Farida Karim","NO","Resigned"
"EMP00138","Operations","Senior Analyst","Full-time","Nukus","03/12/2020","2021-07-23","38,397.87","0.13","4.29","34","54","4.05","Rustam Mamatov","No","Resigned"
"EMP00139","Customer Success","L3","Part-time","Nukus","03/05/2018","2020-07-05","119,918.23","0.03","3.2","39","66","4.78","Farida Karim","no","On Leave"
"EMP00140","HR","Manager","Full-time","Fergana","05/04/2016","2017-12-13","$135,828.33","0.06","3.6","15","57","3.53","Timur Akramov","Yes","Resigned"
"EMP00141","IT","L4","Intern","Bukhara","04/03/2021","2022-02-23","133,701.92","0.13","3.21","24","1","4.63","Nodira Usmanova",,"Active"
"EMP00142","sales ","Manager","Full-time","Andijan","03/11/2016","2019-11-27","53,063.95","0.13","3.21","40","34","2.19","Sara Lee","no","On Leave"
"EMP00143","Finance","L2","Contract","Tashkent","28/09/2021","2022-05-07","44,470.56","0.2","4.39","33","55","4.07","Timur Akramov","NO","Resigned"
"EMP00144","Human Resources","L2","Intern","Bukhara","26/09/2017","2018-08-17","75,497.59","0.06","2.83","29","54","3.09",,"NO","Active"
"EMP00145","Operations","Senior Analyst","Intern","Fergana","25/03/2021","2022-01-20","36,068.69","0.03","3.84","21","0","4.73","Timur Akramov","no","Active"
"EMP00146","IT","Manager","Part-time","Andijan","14/06/2020","2022-01-22","142,039.37","0.16","3.05","39","15","3.97","Rustam Mamatov","yes","On Leave"
"EMP00147","IT","L1","Contract","Fergana","25/02/2017","2019-05-15"," 52,464.83 ","0.14","4.39","38","33","4.87","Nodira Usmanova","yes","Active"
"EMP00148","HR","L1","Part-time","Nukus","26/12/2023","2024-07-11","131,308.72","0.17","2.31","43","52","2.29","Nodira Usmanova","yes","On Leave"
"EMP00149","Customer Success","L3","Part-time","Fergana","18/02/2018","2021-03-07","64,848.78","0.17","2.86","21","62","3.75","Aziz Khan","NO","active"
"EMP00150","sales ","Senior Analyst","Full-time","Andijan","21/11/2018","2019-10-01","129,717.04","0.12","4.13","15","43","4.03","Aziz Khan","NO","On Leave"
"EMP00151","Sales","L4","Part-time","Nukus","19/04/2018","2021-07-17","125,041.09","0.16","3.87","38","10","1.74","Farida Karim","NO","active"
"EMP00152","Marketing","L4","Contract","Bukhara","03/07/2021","2023-04-02","39,212.49","0.12","4.78","25","27","2.16","Farida Karim","NO","Resigned"
"EMP00153","Operations","L2","Intern","Andijan","07/12/2021","2024-03-13","52,061.70","0.01","2.5","35","52","2.37","Sara Lee","No","Resigned"
"EMP00154","HR","Manager","Full-time","Nukus","10/03/2025","2026-08-15","$133,389.94","0.05","2.02","45","61","2.55","Rustam Mamatov","no","active"
"EMP00155"," hr ","L2","Part-time","Andijan","10/12/2017","2018-08-23","46,209.16","0.16","3.6","27","56","2.52","Rustam Mamatov","Yes","Resigned"
"EMP00156","Sales","L4","Intern","Bukhara","01/09/2017","2018-12-09","67,035.31","0.05",,"32","78","2.47","Sara Lee","NO","active"
"EMP00157","Customer Success","L4","Contract","Samarkand","29/09/2019","2020-04-18","96,630.28","0.08","2.22","17","0","3.22","Sara Lee","NO","Active"
"EMP00158","Sales","Manager","Part-time","Tashkent","04/08/2022","2025-02-23","53,303.20","0.16","4.81","12","63","4.24","Sara Lee","Yes","Active"
"EMP00159","Sales","L2","Contract","Fergana","23/02/2017","2019-11-12","149,108.15","0.01","3.48","19","79","4.56","Sara Lee","NO","On Leave"
"EMP00160","Marketing","L1","Full-time","Tashkent","11/02/2020","2020-11-16","93,144.53","0.03","4.94","45","27","1.87","Farida Karim","NO","Resigned"
"EMP00161","Marketing","L2","Full-time","Nukus","30/01/2023","2026-03-01","62,503.69","0.05","3.62","17","72","3.85","Nodira Usmanova","NO","Resigned"
"EMP00162","Human Resources","Manager","Contract","Samarkand","24/06/2021","2024-04-09",,"0.09","2.3","45","77","3.51",,"Yes","Resigned"
"EMP00163","Operations","L4","Full-time","Nukus","17/04/2020","2021-04-26","76,976.97","0.08","3.32","16","71","4.34","Rustam Mamatov","no","Active"
"EMP00164","sales ","L3","Contract","Tashkent","09/11/2020","2022-08-07","96,676.04","0.05","4.39","4","39","2.96","Sara Lee","yes","active"
"EMP00165","Operations","Senior Analyst","Contract","Samarkand","11/05/2021","2023-05-21","$ 50,768.41","0","4.85","35","79","2.7","Nodira Usmanova","yes","Resigned"
"EMP00166","Customer Success","L3","Contract","Tashkent","04/12/2023","2025-03-14","148,468.01","0.17","4.02","16","29","4.72","Farida Karim","NO","Active"
"EMP00167","sales ","Manager","Part-time","Nukus","15/04/2021","2022-12-17","95,035.44","0.06","3.6","19","17","2.79","Farida Karim","No","active"
"EMP00168","Marketing","L2","Full-time","Nukus","16/10/2016","2018-06-21","$60,224.44","0.04","3.13","35","41","3.77","Farida Karim","No","On Leave"
"EMP00169","Marketing","L2","Contract","Andijan","10/03/2023","2025-08-24","74,910.16","0.1","2.61","28","16","4.88","Timur Akramov","no","active"
"EMP00170","HR","L2","Intern","Nukus","15/08/2016","2018-05-18","84,616.13","0.15","3.11","44","5","1.89","Sara Lee","No","active"
"EMP00171","Customer Success","L4","Contract","Tashkent","04/12/2021","2022-10-18","147,265.93","0.17","2.59","39","17","4.61","Aziz Khan","No","Active"
"EMP00172","sales ","Manager","Full-time","Samarkand","08/03/2018","2018-10-23","104,961.40","0.05","2.21","28","8","4.77","Aziz Khan","yes","Active"
"EMP00173","Customer Success","Senior Analyst","Full-time","Andijan","11/02/2019","2021-07-25","45,200.24","0.1","4.78","34","0","3.49","Sara Lee","No","Active"
"EMP00174","HR","Manager","Full-time",,"18/04/2016","2018-06-24","93,523.18","0.01","4.02","10","33","4.52","Rustam Mamatov","No","On Leave"
"EMP00175","Sales","L4","Contract","Fergana","29/03/2021","2021-11-14","29,750.78","0.03","2.72","44","19","3.29","Nodira Usmanova","No","On Leave"
"EMP00176","Sales","L4","Contract","Bukhara","23/01/2020","2023-03-27","133,384.10","0.14","2.26","5","60","3.57","Timur Akramov","NO","On Leave"
"EMP00177","Human Resources","L2","Intern","Nukus","03/10/2017","2018-06-26","42,652.05","0.04","4.6","25","21","2.88","Sara Lee","No","active"
"EMP00178","Customer Success","Manager","Part-time","Tashkent","20/02/2020","2023-02-10","113,465.25","0.18","4.31","1","12","2.47","Rustam Mamatov","yes","Resigned"
"EMP00179","IT","Manager","Full-time","Bukhara","23/01/2024","2025-05-19","81,170.30","0.06","2.5","34","67","4.02","Rustam Mamatov","no","active"
"EMP00180","IT","Manager","Intern","Andijan","16/04/2016","2017-02-01","67,848.21","0.1","4.74","5","14","1.78",,"No","Active"
