"order_id","order_date","ship_date","region","city","category","subcategory","customer_segment","order_status","payment_method","units_sold","sales_amount","discount_pct","profit","sales_rep","promo_code"
"ORD00021","2024-05-23","2024-05-24","West","Namangan","Clothing","Paper","Home Office","Shipped","Cash","24","2,050.68","0.16","253.76","Malika Rakhimova","FLASH15"
"ORD00022","2024-03-13","2024-03-18","West","Samarkand","Furniture","Jackets","Small Business","Processing","Cash","17","3,168.87","0.16","933.05","Aziza Sobirova","FLASH15"
"ORD00023","2023-12-23","2023-12-31","East","Samarkand","Office Supplies","Snacks","Consumer","Returned","Cash","13","5,854.56","0.01","1000.74",,"LOYAL20"
"ORD00024","2024-07-18","2024-07-22","Central","Nukus","Office Supplies","Chairs","Small Business","Returned","Transfer","3","254.33","0.2","46.26","Aziza Sobirova",
"ORD00025","2024-02-03","2024-02-06","Central","Andijan","Electronics","Snacks","Consumer","Shipped","Card","2","99.65","0.23","21.69","Anvar Karimov",
"ORD00026","2023-01-18","2023-01-20","East","Tashkent","Groceries","Paper","Home Office","Delivered","Card","23","7,960.46","0.21","1335.53","Aziza Sobirova","SPRING10"
"ORD00027","2024-02-24","2024-03-02","Central","Bukhara","Office Supplies","Laptops","Small Business","Returned","Online Wallet","14","4,121.73","0.23","943.82","Bekzod Umarov",
"ORD00028","2023-03-12","2023-03-19","Central","Fergana","Clothing","Snacks","Small Business","Delivered","Cash","24","10,234.92","0.05","2421.58","Bekzod Umarov","LOYAL20"
"ORD00029","2024-03-30","2024-04-07","Central","Bukhara","Electronics","Storage","Consumer","Returned","Transfer","23"," 710.99 ","0.21","111.24","Nilufar Ismailova","SPRING10"
"ORD00030","2024-03-13","2024-03-19","North","Samarkand","Office Supplies","Snacks","Home Office","Returned","Transfer","8","573.12","0.05","139.99","Malika Rakhimova",
"ORD00031","2024-01-16","2024-01-21","Central","Nukus","Clothing","Paper","Consumer","Shipped","Online Wallet","14","401.28","0.07","109.5","Nilufar Ismailova","SPRING10"
"ORD00032","2024-10-16","2024-10-20","Central","Tashkent","Groceries","Jackets","Corporate","Returned","Cash","21","6,803.76","0.22","918.62","Bekzod Umarov","WEEKEND5"
"ORD00033","2023-10-18","2023-10-20","South","Andijan","Groceries","Chairs","Home Office","Returned","Cash","3","171.28","0.12","33.03","Bekzod Umarov",
"ORD00034","2023-09-25","2023-09-28","North","Nukus","Furniture","Tables","Home Office","Shipped","Online Wallet","8","$1,520.07","0.14","158.44","Dilshod Aliyev","FLASH15"
"ORD00035","2023-03-30","2023-04-03","South","Fergana","Furniture","Jackets","Corporate","Returned","Card","6","1,652.91","0.24","168.19","Aziza Sobirova","WEEKEND5"
"ORD00036","2024-01-11","2024-01-16","East","Tashkent","Electronics","Chairs","Consumer","Delivered","Transfer","9","2,945.40","0.07","348.91","Dilshod Aliyev",
"ORD00037","2023-01-28","2023-02-01","East","Namangan","Clothing","Laptops","Consumer","Processing","Online Wallet","1","451.32","0.01","51.41","Nilufar Ismailova",
"ORD00038","2023-04-09","2023-04-17","North","Samarkand","Electronics","Tables","Home Office","Shipped","Card","8","537.76","0.07","52.31","Aziza Sobirova","FLASH15"
"ORD00039","2024-11-30","2024-12-05","Central","Bukhara","Office Supplies","Phones","Small Business","Returned","Cash","9","2,046.45","0.13","179.81","Bekzod Umarov","WEEKEND5"
"ORD00040","2024-04-27","2024-05-02","Central","Namangan","Electronics","Laptops","Small Business","Delivered","Online Wallet","5","161.37","0.01","21.25","Malika Rakhimova","LOYAL20"
"ORD00041","2024-07-27","2024-07-31","South","Bukhara","Furniture","Phones","Consumer","Processing","Transfer","5","312.78","0.24","57.81","Anvar Karimov","LOYAL20"
"ORD00042","2023-06-27","2023-07-03","South","Tashkent","Office Supplies","Snacks","Small Business","Returned","Cash","12","5,798.98","0.01","522.14","Bekzod Umarov",
"ORD00043","2024-10-28","2024-10-29","West","Bukhara","Clothing","Laptops","Corporate","Delivered","Online Wallet","2","175.03","0.1","29.92","Anvar Karimov",
"ORD00044","2024-02-29","2024-03-02","West","Nukus","Electronics","Paper","Corporate","Shipped","Transfer","15","4,944.70","0.15","606.4","Aziza Sobirova","SPRING10"
"ORD00045","2024-02-10","2024-02-18","West","Andijan","Groceries","Storage","Home Office","Shipped","Transfer","19","7,078.31",,"743.9","Malika Rakhimova",
"ORD00046","2024-11-26","2024-11-30","South","Andijan","Electronics","Snacks","Consumer","Delivered","Online Wallet","1","239.61","0.24","59.28",,
"ORD00047","2025-01-24","2025-02-01","East","Tashkent","Clothing","Laptops","Small Business","Processing","Online Wallet","17","6,906.56","0.06","1247.76","Bekzod Umarov","SPRING10"
"ORD00048","2024-10-10","2024-10-11","East","Tashkent","Groceries","Chairs","Consumer","Shipped","Transfer","20","5,094.67","0.12","448.87","Malika Rakhimova","SPRING10"
"ORD00049","2023-01-09","2023-01-15","West","Fergana","Clothing","Chairs","Corporate","Shipped","Card","19","5,467.44","0.25","1092.53","Nilufar Ismailova","SPRING10"
"ORD00050","2023-03-14","2023-03-18","South","Bukhara","Furniture","Laptops","Home Office","Returned","Online Wallet","19","424.26","0.15","125.46","Aziza Sobirova","SPRING10"
"ORD00051","2023-02-02","2023-02-09","Central","Samarkand","Groceries","Jackets","Consumer","Shipped","Online Wallet","20","$6,118.42","0.19","763.63","Dilshod Aliyev","SPRING10"
"ORD00052","2024-06-19","2024-06-21","West","Namangan","Groceries",,"Home Office","Shipped","Cash","7","2,394.20","0.04","570.2","Nilufar Ismailova","LOYAL20"
"ORD00053","2024-06-09","2024-06-15","East","Andijan","Electronics","Laptops","Consumer","Delivered","Online Wallet","7","2,954.74","0.03","679.96","Aziza Sobirova","LOYAL20"
"ORD00054","2024-06-13","2024-06-17","West","Bukhara","Office Supplies","Snacks","Corporate","Delivered","Card","25","3,608.10","0.05","535.07","Aziza Sobirova","SPRING10"
"ORD00055","2024-11-04","2024-11-09","North","Tashkent","Furniture","Paper","Consumer","Processing","Card","10","1,337.39","0.21","213.18","Nilufar Ismailova",
"ORD00056","2024-02-26","2024-03-03","South","Samarkand","Groceries","Chairs","Consumer","Shipped","Online Wallet","3","306.97","0.11","41.69","Dilshod Aliyev","FLASH15"
"ORD00057","2024-02-21","2024-02-26","Central","Namangan","Groceries","Chairs","Home Office","Shipped","Online Wallet","23","530.87","0.24","118.56","Nilufar Ismailova","SPRING10"
"ORD00058","2024-04-21","2024-04-25","North","Nukus","Electronics","Laptops","Corporate","Shipped","Transfer","12"," 2,131.86 ","0.21","490.24","Anvar Karimov","FLASH15"
"ORD00059","2024-12-12","2024-12-14","West","Samarkand","Clothing","Paper","Home Office","Delivered","Cash","16","3,208.16","0.21","648.52","Anvar Karimov",
"ORD00060","2024-11-04","2024-11-09","North","Bukhara","Office Supplies","Phones","Corporate","Processing","Online Wallet","6","1,497.12","0.14","332","Malika Rakhimova","LOYAL20"
"ORD00061","2023-08-18","2023-08-19","West","Bukhara","Electronics","Jackets","Small Business","Shipped","Transfer","13",,"0.06","927.92","Anvar Karimov","SPRING10"
"ORD00062","2024-05-25","2024-05-31","North","Samarkand","Office Supplies","Chairs","Small Business","Returned","Card","20","2,528.22","0.23","709.46","Dilshod Aliyev","LOYAL20"
"ORD00063","2024-11-29","2024-11-30","East","Andijan","Clothing","Snacks","Consumer","Shipped","Card","23","4,728.87","0.01","1068.22","Nilufar Ismailova","FLASH15"
"ORD00064","2023-10-20","2023-10-24","Central","Andijan","Furniture","Jackets","Consumer","Returned","Online Wallet","9","2,004.66","0.11","515.84","Bekzod Umarov","LOYAL20"
"ORD00065","2024-02-21","2024-02-28","South","Samarkand","Electronics","Snacks","Consumer","Delivered","Online Wallet","23","7,473.35","0.17","1883.82","Bekzod Umarov",
"ORD00066","2024-05-04","2024-05-05","East","Andijan","Clothing","Jackets","Consumer","Processing","Transfer","6","2,164.79","0.19","396.66","Bekzod Umarov",
"ORD00067","2024-09-08","2024-09-13","South","Bukhara","Furniture","Storage","Small Business","Delivered","Cash","19","3,810.43","0.24","549.56","Anvar Karimov","WEEKEND5"
"ORD00068","2024-05-29","2024-06-06","West","Tashkent","Electronics","Laptops","Consumer","Delivered","Online Wallet","17","$2,997.31","0.24","333.89","Malika Rakhimova","FLASH15"
"ORD00069","2023-06-24","2023-07-01","East","Andijan","Clothing","Jackets","Consumer","Processing","Online Wallet","10","586.81","0.17","113.56",,"FLASH15"
"ORD00070","2023-07-17","2023-07-19","Central","Samarkand","Clothing","Laptops","Consumer","Processing","Transfer","14","3,764.05","0.23","362.12","Aziza Sobirova",
"ORD00071","2023-03-07","2023-03-11","Central","Samarkand","Furniture","Laptops","Consumer","Shipped","Online Wallet","6","1,669.90","0.19","203.69","Nilufar Ismailova","FLASH15"
"ORD00072","2024-02-14","2024-02-21","West","Samarkand","Furniture","Jackets","Corporate","Processing","Transfer","6","625.77","0.16","168.35","Dilshod Aliyev",
"ORD00073","2025-02-21","2025-02-27","East","Samarkand","Electronics","Jackets","Corporate","Returned","Card","22","9,395.06","0.13","2329.26","Nilufar Ismailova","FLASH15"
"ORD00074","2024-04-23","2024-04-24","South","Andijan","Clothing","Phones","Corporate","Delivered","Online Wallet","8","638.45","0.06","93.87","Anvar Karimov",
"ORD00075","2024-03-05","2024-03-08","West","Nukus","Furniture","Storage","Consumer","Processing","Card","21","6,783.34","0.2","1368.33","Aziza Sobirova","WEEKEND5"
"ORD00076","2024-11-27","2024-12-01","South","Bukhara","Electronics","Paper","Home Office","Delivered","Online Wallet","11","2,675.97","0.25","335.14","Nilufar Ismailova","SPRING10"
"ORD00077","2024-03-31","2024-04-04","North","Andijan","Electronics","Phones","Small Business","Delivered","Online Wallet","5","1,834.37","0.01","187.31","Malika Rakhimova","SPRING10"
"ORD00078","2024-08-16","2024-08-18","West","Bukhara","Electronics","Chairs","Consumer","Returned","Transfer","22","8,729.72","0.05","2561.99","Dilshod Aliyev","SPRING10"
"ORD00079","2023-11-01","2023-11-08","South","Bukhara","Office Supplies","Phones","Home Office","Delivered","Cash","1","125.34","0.1","26.78","Dilshod Aliyev","SPRING10"
"ORD00080","2025-02-03","2025-02-06","South","Tashkent","Groceries","Phones","Small Business","Delivered","Card","5","2,270.35","0.13","394.4","Dilshod Aliyev",
"ORD00081","2023-05-01","2023-05-05","South","Fergana","Clothing","Jackets","Corporate","Returned","Cash","24","9,638.28","0.18","1208.05","Bekzod Umarov","LOYAL20"
"ORD00082","2025-02-05","2025-02-09","West","Fergana","Clothing","Tables","Consumer","Processing","Cash","21","701.56","0.06","185.41","Anvar Karimov",
"ORD00083","2023-12-10","2023-12-12","North","Bukhara","Groceries","Laptops","Home Office","Processing","Cash","23","7,026.96","0.24","1028.49","Dilshod Aliyev","SPRING10"
"ORD00084","2024-03-18","2024-03-19","South","Tashkent","Furniture","Storage","Corporate","Processing","Online Wallet","10","1,240.80","0.04","204.76","Malika Rakhimova",
"ORD00085","2024-01-23","2024-01-31","Central","Andijan","Groceries","Chairs","Small Business","Returned","Card","15","$1,882.92","0.02","216.41","Malika Rakhimova",
"ORD00086","2023-05-30","2023-06-03","South","Tashkent","Clothing","Chairs","Consumer","Delivered","Transfer","7","2,994.23","0.04","294.84","Bekzod Umarov",
"ORD00087","2024-04-05","2024-04-06","North","Tashkent","Furniture","Storage","Home Office","Shipped","Transfer","6"," 403.57 ","0.08","106.84","Anvar Karimov","WEEKEND5"
"ORD00088","2023-11-10","2023-11-13","East","Samarkand","Electronics","Jackets","Consumer","Returned","Transfer","21","6,205.25","0.2","1843.17","Anvar Karimov","SPRING10"
"ORD00089","2023-01-05","2023-01-08","West","Nukus","Clothing","Tables","Consumer","Shipped","Online Wallet","20","1,552.82","0.14","424.24","Nilufar Ismailova",
"ORD00090","2024-04-16","2024-04-22","South","Nukus","Clothing","Jackets","Consumer","Returned","Card","1","330.74",,"85.22","Aziza Sobirova","SPRING10"
"ORD00091","2023-01-30","2023-02-03","West","Andijan","Office Supplies","Paper","Home Office","Shipped","Online Wallet","3","435.62","0.24","67.28","Anvar Karimov","FLASH15"
"ORD00092","2024-07-30","2024-08-04","West","Fergana","Furniture","Chairs","Home Office","Shipped","Online Wallet","7","1,507.21","0.24","276.11",,"LOYAL20"
"ORD00093","2025-02-07","2025-02-13","North","Andijan","Clothing","Chairs","Small Business","Delivered","Cash","10","3,496.58","0.16","773.71","Dilshod Aliyev","WEEKEND5"
"ORD00094","2024-01-05","2024-01-09","West","Namangan","Groceries","Tables","Consumer","Processing","Online Wallet","25","2,822.28","0.21","579.08","Anvar Karimov","WEEKEND5"
"ORD00095","2023-02-27","2023-03-07","Central","Tashkent","Furniture","Phones","Home Office","Delivered","Cash","23","1,192.80","0.09","349.44","Malika Rakhimova","SPRING10"
"ORD00096","2023-08-07","2023-08-10","South","Andijan","Groceries","Laptops","Corporate","Delivered","Transfer","10","351.29","0.18","46.63","Anvar Karimov","LOYAL20"
"ORD00097","2025-02-05","2025-02-08","South","Bukhara","Electronics","Chairs","Corporate","Shipped","Transfer","10","3,211.28","0.03","941.5","Malika Rakhimova","WEEKEND5"
"ORD00098","2024-03-18","2024-03-21","South","Fergana","Office Supplies","Phones","Small Business","Shipped","Card","8","2,062.94","0.1","584.08","Malika Rakhimova","SPRING10"
"ORD00099","2025-01-02","2025-01-04","West","Fergana","Electronics","Phones","Consumer","Returned","Cash","1","503.56","0.02","70.12","Nilufar Ismailova","WEEKEND5"
"ORD00100","2024-12-11","2024-12-17","West","Samarkand","Groceries","Snacks","Home Office","Processing","Online Wallet","9","1,962.11","0.08","194.79","Aziza Sobirova","LOYAL20"
"ORD00101","2024-05-06","2024-05-07","South","Namangan","Electronics","Phones","Small Business","Processing","Card","4","153.19","0.07","21.42","Dilshod Aliyev","LOYAL20"
"ORD00102","2025-02-20","2025-02-21","North","Fergana","Clothing","Storage","Consumer","Delivered","Cash","24","$2,324.97","0.04","246.66","Dilshod Aliyev","LOYAL20"
"ORD00103","2024-08-17","2024-08-23","West","Samarkand","Office Supplies","Storage","Home Office","Delivered","Card","5","1,982.55","0.12","560.95","Dilshod Aliyev","LOYAL20"
"ORD00104","2024-04-02","2024-04-08","East","Fergana","Office Supplies",,"Home Office","Shipped","Card","20","2,684.00","0.12","589.48","Anvar Karimov","SPRING10"
"ORD00105","2023-07-28","2023-07-29","South","Samarkand","Clothing","Snacks","Consumer","Returned","Cash","4","1,440.98","0.06","216.26","Malika Rakhimova",
"ORD00106","2023-03-06","2023-03-13","South","Tashkent","Electronics","Laptops","Consumer","Returned","Transfer","9","2,483.78","0.09","470.67","Aziza Sobirova",
"ORD00107","2024-04-18","2024-04-23","Central","Andijan","Electronics","Phones","Consumer","Shipped","Online Wallet","3","600.31","0.18","119.09","Bekzod Umarov","WEEKEND5"
"ORD00108","2024-10-15","2024-10-17","Central","Namangan","Groceries","Jackets","Consumer","Returned","Card","15","6,528.58","0.03","1708.41","Nilufar Ismailova","SPRING10"
"ORD00109","2024-01-22","2024-01-27","West","Nukus","Office Supplies","Phones","Consumer","Shipped","Card","16","503.07","0.22","113.88","Aziza Sobirova","SPRING10"
"ORD00110","2023-02-22","2023-02-25","South","Nukus","Office Supplies","Phones","Home Office","Returned","Cash","7","2,062.35","0.24","591.92","Nilufar Ismailova",
"ORD00111","2024-03-11","2024-03-18","Central","Fergana","Clothing","Jackets","Consumer","Shipped","Card","14","581.65","0.14","129.86","Bekzod Umarov",
"ORD00112","2024-02-13","2024-02-20","West","Bukhara","Clothing","Chairs","Consumer","Processing","Card","4","1,240.95","0.14","287.26","Anvar Karimov","WEEKEND5"
"ORD00113","2024-09-10","2024-09-14","West","Tashkent","Clothing","Snacks","Consumer","Processing","Cash","2","793.87","0.12","138.01","Anvar Karimov",
"ORD00114","2024-05-05","2024-05-07","West","Namangan","Furniture","Storage","Small Business","Shipped","Transfer","3","748.47","0.13","186.17","Nilufar Ismailova","WEEKEND5"
"ORD00115","2025-01-22","2025-01-28","South","Samarkand","Furniture","Jackets","Small Business","Returned","Card","20","5,228.06","0.21","1203.38",,"WEEKEND5"
"ORD00116","2023-04-11","2023-04-15","West","Namangan","Office Supplies","Jackets","Consumer","Returned","Online Wallet","8"," 555.83 ","0.13","55.34","Nilufar Ismailova","FLASH15"
"ORD00117","2023-02-25","2023-02-27","West","Fergana","Furniture","Chairs","Corporate","Returned","Online Wallet","4","1,263.62","0.13","252.52","Anvar Karimov","FLASH15"
"ORD00118","2023-01-08","2023-01-13","North","Bukhara","Furniture","Chairs","Corporate","Delivered","Cash","10","4,066.52","0.21","694.91","Anvar Karimov","FLASH15"
"ORD00119","2024-11-28","2024-12-02","West","Andijan","Groceries","Laptops","Corporate","Processing","Online Wallet","9","$2,665.01","0.11","534.94","Nilufar Ismailova","SPRING10"
"ORD00120","2023-05-05","2023-05-12","East","Fergana","Electronics","Paper","Consumer","Returned","Online Wallet","15","4,975.44","0.13","876.56","Dilshod Aliyev","SPRING10"
"ORD00121","2023-12-05","2023-12-09","East","Samarkand","Office Supplies","Chairs","Corporate","Delivered","Transfer","16","3,969.24","0.07","1116.03","Malika Rakhimova","LOYAL20"
"ORD00122","2024-08-05","2024-08-06","East","Andijan","Office Supplies","Paper","Corporate","Processing","Cash","12",,"0.01","306.44","Dilshod Aliyev","LOYAL20"
"ORD00123","2024-08-25","2024-09-01","North","Andijan","Groceries","Chairs","Home Office","Processing","Card","25","6930.82","0.08","1854.34","Dilshod Aliyev","SPRING10"
"ORD00124","2023-08-31","2023-09-06","South","Andijan","Office Supplies","Tables","Small Business","Returned","Card","16","4,081.90","0.13","1157.37","Anvar Karimov","FLASH15"
"ORD00125","2023-08-03","2023-08-06","North","Tashkent","Clothing","Tables","Home Office","Processing","Online Wallet","21","1,093.83","0.12","222.19","Nilufar Ismailova","LOYAL20"
"ORD00126","2024-11-11","2024-11-16","North","Fergana","Clothing","Jackets","Corporate","Shipped","Transfer","2","529.16","0.01","130.61","Nilufar Ismailova","LOYAL20"
"ORD00127","2025-01-04","2025-01-05","Central","Nukus","Electronics","Jackets","Consumer","Processing","Transfer","9","3,211.79","0.24","459.43","Nilufar Ismailova",
"ORD00128","2023-10-02","2023-10-07","Central","Andijan","Electronics","Phones","Consumer","Processing","Online Wallet","14","5,620.78","0.19","903.06","Aziza Sobirova","SPRING10"
"ORD00129","2023-07-03","2023-07-08","South","Nukus","Electronics","Chairs","Consumer","Processing","Card","5","951.94","0.18","208.88","Nilufar Ismailova",
"ORD00130","2023-04-27","2023-04-30","Central","Namangan","Electronics","Phones","Consumer","Processing","Cash","22","10,649.18","0.05","2837.3","Nilufar Ismailova","FLASH15"
"ORD00131","2024-08-19","2024-08-26","East","Bukhara","Electronics","Chairs","Consumer","Processing","Cash","9","4,360.00","0.08","939.91","Bekzod Umarov","FLASH15"
"ORD00132","2024-08-30","2024-09-06","West","Tashkent","Furniture","Chairs","Corporate","Returned","Card","15","1,420.50","0.22","400.1","Dilshod Aliyev",
"ORD00133","2023-03-28","2023-04-05","South","Tashkent","Groceries","Paper","Home Office","Delivered","Transfer","1","138.64","0.11","15.19","Bekzod Umarov","SPRING10"
"ORD00134","2023-04-22","2023-04-25","Central","Tashkent","Clothing","Laptops","Consumer","Returned","Online Wallet","23","4,442.33","0.08","632","Bekzod Umarov",
"ORD00135","2024-07-05","2024-07-09","West","Samarkand","Furniture","Tables","Home Office","Returned","Online Wallet","24","7,034.52",,"819.54","Nilufar Ismailova","WEEKEND5"
"ORD00136","2024-12-09","2024-12-10","North","Namangan","Electronics","Paper","Consumer","Returned","Card","7","$1,236.10","0.01","131.78","Dilshod Aliyev","LOYAL20"
"ORD00137","2023-08-13","2023-08-16","North","Tashkent","Groceries","Storage","Corporate","Delivered","Transfer","6","2,102.91","0.14","315.44","Bekzod Umarov","FLASH15"
"ORD00138","2024-02-22","2024-02-23","East","Namangan","Groceries","Laptops","Home Office","Returned","Online Wallet","3","947.15","0.23","83.31",,
"ORD00139","2023-07-18","2023-07-23","East","Samarkand","Furniture","Laptops","Small Business","Returned","Transfer","19","8,510.31","0.09","1149.44","Dilshod Aliyev",
"ORD00140","2023-01-23","2023-01-27","Central","Bukhara","Office Supplies","Paper","Home Office","Processing","Cash","23","2,565.51","0.2","258.76","Anvar Karimov",
"ORD00141","2024-03-15","2024-03-17","South","Namangan","Office Supplies","Jackets","Consumer","Returned","Transfer","22","6,500.89","0.16","1749.47","Nilufar Ismailova","SPRING10"
"ORD00142","2023-03-13","2023-03-21","Central","Namangan","Office Supplies","Laptops","Corporate","Shipped","Card","6","492.59","0.18","66.03","Aziza Sobirova",
"ORD00143","2024-05-02","2024-05-03","North","Nukus","Groceries","Tables","Home Office","Returned","Cash","4","1,010.16","0.08","224.35","Bekzod Umarov","FLASH15"
"ORD00144","2023-05-28","2023-05-30","East","Bukhara","Furniture","Tables","Home Office","Processing","Cash","10","2,150.72","0.06","545.84","Bekzod Umarov","WEEKEND5"
"ORD00145","2024-03-19","2024-03-20","West","Samarkand","Groceries","Snacks","Consumer","Returned","Cash","2"," 625.86 ","0.23","183.88","Dilshod Aliyev","SPRING10"
"ORD00146","2024-01-13","2024-01-17","Central","Fergana","Furniture","Laptops","Consumer","Processing","Online Wallet","24","6,383.76","0.17","902.42","Nilufar Ismailova",
"ORD00147","2023-04-08","2023-04-13","West","Namangan","Groceries","Laptops","Corporate","Returned","Online Wallet","6","1,772.64","0.04","364.09","Nilufar Ismailova","WEEKEND5"
"ORD00148","2024-11-08","2024-11-09","East","Nukus","Electronics","Storage","Home Office","Shipped","Transfer","22","2,735.88","0.04","386.04","Nilufar Ismailova",
"ORD00149","2023-07-01","2023-07-09","West","Fergana","Furniture","Snacks","Small Business","Processing","Card","8","3,838.02","0.08","639.49","Bekzod Umarov","WEEKEND5"
"ORD00150","2023-09-03","2023-09-05","Central","Namangan","Groceries","Paper","Home Office","Returned","Card","21","1,088.17","0.25","128.07","Aziza Sobirova",
"ORD00151","2023-07-15","2023-07-23","West","Fergana","Groceries","Laptops","Consumer","Delivered","Transfer","20","727.94","0.15","138.13","Bekzod Umarov","LOYAL20"
"ORD00152","2024-04-12","2024-04-16","East","Namangan","Clothing","Jackets","Corporate","Shipped","Transfer","3","1,109.66","0.16","216.15","Aziza Sobirova","FLASH15"
"ORD00153","2024-05-18","2024-05-24","Central","Tashkent","Electronics","Laptops","Home Office","Shipped","Card","5","$1,937.67","0.06","492.18","Malika Rakhimova",
"ORD00154","2025-02-18","2025-02-21","West","Samarkand","Electronics","Storage","Small Business","Shipped","Online Wallet","22","3,160.73","0.19","313.34","Aziza Sobirova","WEEKEND5"
"ORD00155","2023-06-14","2023-06-15","Central","Fergana","Office Supplies","Jackets","Home Office","Shipped","Online Wallet","4","1,653.30","0.05","311.18","Anvar Karimov",
"ORD00156","2023-05-22","2023-05-25","East","Samarkand","Clothing",,"Small Business","Shipped","Card","8","278.64","0.14","83.4","Bekzod Umarov","LOYAL20"
"ORD00157","2023-11-14","2023-11-15","North","Bukhara","Electronics","Paper","Consumer","Processing","Cash","15","6,126.08","0.14","1257.59","Bekzod Umarov","SPRING10"
"ORD00158","2024-07-13","2024-07-19","North","Fergana","Clothing","Paper","Small Business","Returned","Cash","6","92.35","0.2","17.11","Anvar Karimov","WEEKEND5"
"ORD00159","2023-04-08","2023-04-15","Central","Tashkent","Office Supplies","Snacks","Small Business","Returned","Card","25","1,007.95","0.05","230.93","Bekzod Umarov",
"ORD00160","2023-12-16","2023-12-17","North","Samarkand","Clothing","Storage","Corporate","Delivered","Transfer","14","6,139.84","0","807.07","Aziza Sobirova","FLASH15"
"ORD00161","2024-08-23","2024-08-31","East","Samarkand","Office Supplies","Snacks","Small Business","Processing","Transfer","8","3,366.55","0.06","420.13",,"FLASH15"
"ORD00162","2024-04-09","2024-04-16","South","Andijan","Electronics","Storage","Small Business","Processing","Card","3","468.69","0.21","108.18","Anvar Karimov",
"ORD00163","2023-12-31","2024-01-02","West","Bukhara","Office Supplies","Paper","Small Business","Returned","Online Wallet","11","3,497.16","0.16","324.68","Dilshod Aliyev","SPRING10"
"ORD00164","2024-02-17","2024-02-21","North","Samarkand","Groceries","Phones","Corporate","Shipped","Card","15","1208.39","0.1","232.15","Nilufar Ismailova","WEEKEND5"
"ORD00165","2024-03-30","2024-04-04","South","Tashkent","Clothing","Laptops","Small Business","Shipped","Transfer","5","1,396.66","0.23","327.19","Nilufar Ismailova",
